,Have Benefits,Seeks Treatment,Care Options,Wellness Programs,Help Resources,Anonymity
0,Yes,Yes,Not sure,No,Yes,Yes
1,Don't know,No,No,Don't know,Don't know,Don't know
2,No,No,No,No,No,Don't know
3,No,Yes,Yes,No,No,No
4,Yes,No,No,Don't know,Don't know,Don't know
5,Yes,No,Not sure,No,Don't know,Don't know
6,No,Yes,No,No,No,No
7,No,No,Yes,No,No,Yes
8,Yes,Yes,Yes,No,No,No
9,Don't know,No,No,Don't know,Don't know,Don't know
10,Don't know,Yes,No,No,No,Don't know
11,Don't know,No,Not sure,No,No,Don't know
12,Yes,Yes,Yes,No,No,Don't know
13,Don't know,No,Not sure,No,Don't know,Don't know
14,Don't know,No,Not sure,Don't know,Don't know,Don't know
15,Yes,Yes,Not sure,No,No,Don't know
16,Don't know,Yes,No,Don't know,Don't know,Don't know
17,Yes,Yes,Yes,No,Don't know,Don't know
18,Yes,No,Not sure,Yes,Don't know,Yes
19,No,No,No,Yes,No,Yes
20,Yes,Yes,Yes,No,No,No
21,No,No,No,No,No,Yes
22,Yes,Yes,Yes,No,No,Don't know
23,Don't know,Yes,No,No,Don't know,Don't know
24,Yes,Yes,Not sure,Don't know,Yes,Yes
25,Yes,Yes,Yes,No,Don't know,No
26,Don't know,No,Not sure,No,Don't know,Don't know
27,Yes,Yes,Yes,Don't know,Don't know,Don't know
28,Don't know,Yes,Not sure,No,Don't know,Don't know
29,No,No,No,No,No,Don't know
30,No,No,No,No,No,Don't know
31,No,No,Yes,No,No,Don't know
32,Don't know,Yes,No,No,No,Yes
33,Yes,Yes,Yes,Yes,Yes,Yes
34,Yes,Yes,Yes,No,No,Don't know
35,No,Yes,Yes,No,No,Don't know
36,No,No,No,No,No,Don't know
37,No,No,Yes,No,No,Don't know
38,Yes,No,Yes,No,Don't know,Don't know
39,Yes,Yes,Yes,No,Yes,Yes
40,No,Yes,No,No,No,Don't know
41,Yes,No,Not sure,Don't know,Yes,Don't know
42,No,Yes,Yes,No,No,Yes
43,No,No,Not sure,No,No,Don't know
44,Don't know,Yes,No,No,No,Don't know
45,Yes,Yes,Yes,No,Yes,Yes
46,Don't know,No,Not sure,No,No,Don't know
47,No,No,No,No,No,Don't know
48,No,No,Yes,Yes,No,Don't know
49,Yes,Yes,No,No,Don't know,Don't know
50,No,Yes,Yes,No,No,Yes
51,Don't know,No,Not sure,Don't know,Don't know,Don't know
52,Don't know,No,No,Don't know,Don't know,Don't know
53,Don't know,No,Not sure,No,No,Don't know
54,No,No,No,No,No,Don't know
55,Yes,Yes,Yes,No,No,Yes
56,Don't know,No,No,No,No,Don't know
57,Don't know,Yes,No,No,No,Don't know
58,No,No,No,No,No,Yes
59,Don't know,Yes,No,No,No,No
60,Yes,Yes,No,No,Don't know,Don't know
61,Don't know,Yes,Not sure,Yes,Yes,Yes
62,Yes,No,Not sure,No,Yes,Don't know
63,No,No,No,No,No,Don't know
64,Don't know,No,No,No,No,Don't know
65,Yes,No,Yes,Yes,Yes,Don't know
66,No,Yes,Not sure,No,No,Don't know
67,Yes,No,No,Don't know,Yes,Don't know
68,Don't know,No,No,Don't know,Don't know,Don't know
69,No,No,No,No,No,Don't know
70,No,No,No,No,No,Don't know
71,Don't know,No,Not sure,Don't know,Don't know,Don't know
72,Yes,No,Yes,No,No,Yes
73,No,No,No,No,Don't know,Yes
74,Don't know,No,Not sure,Yes,Don't know,Don't know
75,No,No,Yes,No,No,No
76,Yes,No,Yes,Yes,Yes,Don't know
77,No,No,No,No,No,Yes
